fraction_pct	method	replicate_type	replicate	complex_name	pose_density_lt2_pct	coverage_k10_lt2_pct	best_rmsd_A	valid_fraction_pct
10	Transfer-All	training_seed	0	1am0	40.0	100.0	1.3342465903696528	100.0
10	Transfer-All	training_seed	0	1arj	30.0	100.0	1.7751010928958382	100.0
10	Transfer-All	training_seed	0	1byj	0.0	0.0	2.2201555881252717	100.0
10	Transfer-All	training_seed	0	1cvx	10.0	100.0	1.7370150547466958	100.0
10	Transfer-All	training_seed	0	1cvy	0.0	0.0	2.2563267036057204	100.0
10	Transfer-All	training_seed	0	1db6	30.0	100.0	1.6086199636645073	100.0
10	Transfer-All	training_seed	0	1eht	40.0	100.0	0.2866912490950714	100.0
10	Transfer-All	training_seed	0	1ei2	0.0	0.0	3.4637536335324897	100.0
10	Transfer-All	training_seed	0	1f1t	60.0	100.0	0.6499932555863109	100.0
10	Transfer-All	training_seed	0	1f27	10.0	100.0	1.7760544646068712	100.0
10	Transfer-All	training_seed	0	1fjg	0.0	0.0	3.0644731995813532	100.0
10	Transfer-All	training_seed	0	1fmn	30.0	100.0	0.8574406816687936	100.0
10	Transfer-All	training_seed	0	1fyp	0.0	0.0	2.910025534702238	100.0
10	Transfer-All	training_seed	0	1hnw	0.0	0.0	2.613187267734557	100.0
10	Transfer-All	training_seed	0	1i9v	0.0	0.0	3.303530791909656	100.0
10	Transfer-All	training_seed	0	1j7t	0.0	0.0	3.4731191899871705	100.0
10	Transfer-All	training_seed	0	1koc	20.0	100.0	1.8253020944033713	100.0
10	Transfer-All	training_seed	0	1lc4	0.0	0.0	2.049235982781144	100.0
10	Transfer-All	training_seed	0	1lvj	10.0	100.0	1.8137637286808501	100.0
10	Transfer-All	training_seed	0	1mwl	0.0	0.0	2.307684874118495	100.0
10	Transfer-All	training_seed	0	1nbk	70.0	100.0	1.0062535776333918	100.0
10	Transfer-All	training_seed	0	1nem	0.0	0.0	4.692169501845348	100.0
10	Transfer-All	training_seed	0	1nta	0.0	0.0	2.4986839273405512	100.0
10	Transfer-All	training_seed	0	1ntb	0.0	0.0	2.9632755004386615	100.0
10	Transfer-All	training_seed	0	1nzm	30.0	100.0	0.8492474238542477	100.0
10	Transfer-All	training_seed	0	1o15	40.0	100.0	0.6616974947930396	100.0
10	Transfer-All	training_seed	0	1o9m	0.0	0.0	3.1705657891791987	100.0
10	Transfer-All	training_seed	0	1p96	0.0	0.0	2.8886681554938263	100.0
10	Transfer-All	training_seed	0	1pbr	0.0	0.0	3.7820501314007684	100.0
10	Transfer-All	training_seed	0	1q8n	60.0	100.0	0.8194973112829596	100.0
10	Transfer-All	training_seed	0	1qd3	0.0	0.0	3.266506431735812	100.0
10	Transfer-All	training_seed	0	1qv4	0.0	0.0	2.3027234961484817	100.0
10	Transfer-All	training_seed	0	1qv8	0.0	0.0	2.2089816202334984	100.0
10	Transfer-All	training_seed	0	1r4e	0.0	0.0	3.5012473863262517	100.0
10	Transfer-All	training_seed	0	1tob	0.0	0.0	4.035955164053486	100.0
10	Transfer-All	training_seed	0	1u8d	0.0	0.0	2.6934016945119796	100.0
10	Transfer-All	training_seed	0	1uts	0.0	0.0	4.203102607836263	100.0
10	Transfer-All	training_seed	0	1uud	10.0	100.0	1.6763422954754794	100.0
10	Transfer-All	training_seed	0	1uui	20.0	100.0	1.4823141239878654	100.0
10	Transfer-All	training_seed	0	1xbp	0.0	0.0	8.573472898577743	100.0
10	Transfer-All	training_seed	0	1xpf	70.0	100.0	1.2812699963596381	100.0
10	Transfer-All	training_seed	0	1y26	30.0	100.0	0.3528651073710748	100.0
10	Transfer-All	training_seed	0	1y27	60.0	100.0	0.31780372730808026	100.0
10	Transfer-All	training_seed	0	1ykv	20.0	100.0	0.9308092870876242	100.0
10	Transfer-All	training_seed	0	1yrj	0.0	0.0	2.995042023032353	100.0
10	Transfer-All	training_seed	0	1zz5	10.0	100.0	1.9939542218367226	100.0
10	Transfer-All	training_seed	0	2au4	0.0	0.0	4.009482525954877	100.0
10	Transfer-All	training_seed	0	2b57	10.0	100.0	0.4332766458259451	100.0
10	Transfer-All	training_seed	0	2be0	0.0	0.0	6.2228134166208875	100.0
10	Transfer-All	training_seed	0	2bee	0.0	0.0	4.501067163054395	100.0
10	Transfer-All	training_seed	0	2d55	0.0	0.0	7.337754552866367	100.0
10	Transfer-All	training_seed	0	2esi	0.0	0.0	3.3625762850420613	100.0
10	Transfer-All	training_seed	0	2esj	0.0	0.0	4.393518024951863	100.0
10	Transfer-All	training_seed	0	2et3	0.0	0.0	2.5540780016886093	100.0
10	Transfer-All	training_seed	0	2et4	0.0	0.0	3.4060162233975952	100.0
10	Transfer-All	training_seed	0	2et8	20.0	100.0	1.356581806500173	100.0
10	Transfer-All	training_seed	0	2f4s	10.0	100.0	1.4688957016319193	100.0
10	Transfer-All	training_seed	0	2f4t	0.0	0.0	4.262994126365713	100.0
10	Transfer-All	training_seed	0	2f4u	10.0	100.0	1.3748989743694702	100.0
10	Transfer-All	training_seed	0	2fcx	20.0	100.0	1.4102547540652492	100.0
10	Transfer-All	training_seed	0	2fcy	10.0	100.0	1.564635349956446	100.0
10	Transfer-All	training_seed	0	2fcz	10.0	100.0	1.8442541047543382	100.0
10	Transfer-All	training_seed	0	2fd0	0.0	0.0	3.1889383236612443	100.0
10	Transfer-All	training_seed	0	2g5k	0.0	0.0	2.2837019257503104	100.0
10	Transfer-All	training_seed	0	2g5q	10.0	100.0	1.4192508103749668	100.0
10	Transfer-All	training_seed	0	2g9c	10.0	100.0	0.35636491129178227	100.0
10	Transfer-All	training_seed	0	2gdi	0.0	0.0	2.119844984263635	100.0
10	Transfer-All	training_seed	0	2gis	0.0	0.0	2.0026791215953885	100.0
10	Transfer-All	training_seed	0	2juk	0.0	0.0	3.4055483926968355	100.0
10	Transfer-All	training_seed	0	2jwq	10.0	100.0	1.9783137424963715	100.0
10	Transfer-All	training_seed	0	2kgp	10.0	100.0	1.7696151695001376	100.0
10	Transfer-All	training_seed	0	2ktz	30.0	100.0	0.8428950140928635	100.0
10	Transfer-All	training_seed	0	2ku0	30.0	100.0	0.8897606949892911	100.0
10	Transfer-All	training_seed	0	2l94	50.0	100.0	1.5798654962527667	100.0
10	Transfer-All	training_seed	0	2loa	0.0	0.0	4.439075134872519	100.0
10	Transfer-All	training_seed	0	2mb3	0.0	0.0	4.159171575013468	100.0
10	Transfer-All	training_seed	0	2o3v	0.0	0.0	2.509164143978742	100.0
10	Transfer-All	training_seed	0	2o3w	0.0	0.0	4.981060167536531	100.0
10	Transfer-All	training_seed	0	2o3x	0.0	0.0	4.337792422716958	100.0
10	Transfer-All	training_seed	0	2oe5	0.0	0.0	3.2174718034002536	100.0
10	Transfer-All	training_seed	0	2oe8	0.0	0.0	2.000193927692607	100.0
10	Transfer-All	training_seed	0	2ogn	0.0	0.0	3.930529101286569	100.0
10	Transfer-All	training_seed	0	2pwt	0.0	0.0	5.369394084655487	100.0
10	Transfer-All	training_seed	0	2tob	0.0	0.0	2.367520529808031	100.0
10	Transfer-All	training_seed	0	2xnw	30.0	100.0	0.2403500426461373	100.0
10	Transfer-All	training_seed	0	2xnz	40.0	100.0	0.12862330443758768	100.0
10	Transfer-All	training_seed	0	2xo0	80.0	100.0	0.2130807681373426	100.0
10	Transfer-All	training_seed	0	2xo1	30.0	100.0	0.8171588095345971	100.0
10	Transfer-All	training_seed	0	2ydh	0.0	0.0	3.284021442784238	100.0
10	Transfer-All	training_seed	0	2ygh	0.0	0.0	2.120027798385183	100.0
10	Transfer-All	training_seed	0	316d	0.0	0.0	5.2259822757003365	100.0
10	Transfer-All	training_seed	0	3c44	0.0	0.0	3.422412426581438	100.0
10	Transfer-All	training_seed	0	3d2x	20.0	100.0	1.5658493274111167	100.0
10	Transfer-All	training_seed	0	3dil	70.0	100.0	1.3654448179988825	100.0
10	Transfer-All	training_seed	0	3ds7	40.0	100.0	0.8954645345470578	100.0
10	Transfer-All	training_seed	0	3dvv	0.0	0.0	4.678884135994876	100.0
10	Transfer-All	training_seed	0	3e5c	0.0	0.0	3.2231707323689824	100.0
10	Transfer-All	training_seed	0	3f2q	0.0	0.0	2.0944970742862226	100.0
10	Transfer-All	training_seed	0	3fo4	10.0	100.0	0.2944917794808847	100.0
10	Transfer-All	training_seed	0	3fo6	30.0	100.0	0.42319945652139024	100.0
10	Transfer-All	training_seed	0	3gao	20.0	100.0	0.2898129600590385	100.0
10	Transfer-All	training_seed	0	3ger	40.0	100.0	0.2725200092737144	100.0
10	Transfer-All	training_seed	0	3ges	40.0	100.0	0.32202063339688924	100.0
10	Transfer-All	training_seed	0	3gog	20.0	100.0	0.2597748378185164	100.0
10	Transfer-All	training_seed	0	3got	10.0	100.0	0.3781438158353849	100.0
10	Transfer-All	training_seed	0	3gx2	10.0	100.0	1.9634911430635202	100.0
10	Transfer-All	training_seed	0	3gx3	0.0	0.0	2.098226373905791	100.0
10	Transfer-All	training_seed	0	3gx5	0.0	0.0	2.4331570193353205	100.0
10	Transfer-All	training_seed	0	3gx7	0.0	0.0	2.491143262529163	100.0
10	Transfer-All	training_seed	0	3la5	50.0	100.0	0.3052437407220663	100.0
10	Transfer-All	training_seed	0	3mum	0.0	0.0	3.434478823856938	100.0
10	Transfer-All	training_seed	0	3mur	0.0	0.0	5.5201943696678875	100.0
10	Transfer-All	training_seed	0	3mxh	0.0	0.0	3.8033896288305318	100.0
10	Transfer-All	training_seed	0	3npn	10.0	100.0	1.898374531925023	100.0
10	Transfer-All	training_seed	0	3npq	0.0	0.0	2.401755214741599	100.0
10	Transfer-All	training_seed	0	3owz	40.0	100.0	0.48856812626285673	100.0
10	Transfer-All	training_seed	0	3q3z	0.0	0.0	3.2155435847850318	100.0
10	Transfer-All	training_seed	0	3q50	60.0	100.0	0.4492803827318657	100.0
10	Transfer-All	training_seed	0	3s4p	0.0	0.0	4.261638685865793	100.0
10	Transfer-All	training_seed	0	3slm	30.0	100.0	1.0509138031918364	100.0
10	Transfer-All	training_seed	0	407d	10.0	100.0	1.6136330783230532	100.0
10	Transfer-All	training_seed	0	408d	0.0	0.0	2.482994087104467	100.0
10	Transfer-All	training_seed	0	4aob	0.0	0.0	2.5681371755072244	100.0
10	Transfer-All	training_seed	0	4erj	90.0	100.0	0.6619927248677102	100.0
10	Transfer-All	training_seed	0	4fe5	20.0	100.0	0.4872917770699604	100.0
10	Transfer-All	training_seed	0	4jf2	60.0	100.0	0.3009368640659471	100.0
10	Transfer-All	training_seed	0	4kqy	0.0	0.0	2.3638998422255697	100.0
10	Transfer-All	training_seed	0	4lvv	0.0	0.0	2.939198194185939	100.0
10	Transfer-All	training_seed	1	1am0	30.0	100.0	1.3869767963013155	100.0
10	Transfer-All	training_seed	1	1arj	20.0	100.0	1.7703597047398774	100.0
10	Transfer-All	training_seed	1	1byj	10.0	100.0	1.5821728536129285	100.0
10	Transfer-All	training_seed	1	1cvx	10.0	100.0	1.8282867087453762	100.0
10	Transfer-All	training_seed	1	1cvy	0.0	0.0	2.290704588484104	100.0
10	Transfer-All	training_seed	1	1db6	30.0	100.0	1.5643082257023389	100.0
10	Transfer-All	training_seed	1	1eht	40.0	100.0	0.3304713940838029	100.0
10	Transfer-All	training_seed	1	1ei2	0.0	0.0	3.4901241232532527	100.0
10	Transfer-All	training_seed	1	1f1t	70.0	100.0	0.7010499288155644	100.0
10	Transfer-All	training_seed	1	1f27	10.0	100.0	1.8836920430699389	100.0
10	Transfer-All	training_seed	1	1fjg	0.0	0.0	3.494420178826594	100.0
10	Transfer-All	training_seed	1	1fmn	20.0	100.0	1.5210602513993638	100.0
10	Transfer-All	training_seed	1	1fyp	0.0	0.0	2.913705967982553	100.0
10	Transfer-All	training_seed	1	1hnw	0.0	0.0	2.5167053289593713	100.0
10	Transfer-All	training_seed	1	1i9v	0.0	0.0	3.283877233074459	100.0
10	Transfer-All	training_seed	1	1j7t	0.0	0.0	3.2093811152767815	100.0
